fixed attribute values,symbols
"('_', 5, 2, 6)","[{16, 6, 23}]"
"('_', 5, 3, '_')","[{5, 15}]"
"('_', 5, 6, 1)","[{11, 5}]"
"('_', 5, 6, 4)","[{11, 20}]"
"('_', 5, 6, 6)","[{11, 15}, {16, 11}]"
"('_', 5, '_', '_')","[{3, 5, 7}, {3, 5, 7}, {5, 7}]"
"('_', 6, 0, 1)","[{25, 26, 14}]"
"('_', 6, 0, 3)","[{5, 14}]"
"('_', 6, 0, 7)","[{25, 26, 14}]"
"('_', 6, 0, '_')","[{25, 26, 14}, {25, 26, 14}, {25, 26}]"
"('_', 6, 2, 3)","[{3, 6, 23}]"
"('_', 6, 3, 0)","[{21, 14}]"
"('_', 6, 3, 2)","[{25, 14, 15}]"
"('_', 6, 3, 3)","[{5, 15}]"
"('_', 6, 3, 5)","[{25, 14, 15}]"
"('_', 6, 3, 6)","[{14, 15}]"
"('_', 6, 4, 0)","[{8, 25, 14}]"
"('_', 6, 4, 2)","[{24, 25, 23}]"
"('_', 6, 4, 3)","[{25, 14, 23}]"
"('_', 6, 4, 6)","[{8, 23}]"
"('_', 6, 4, '_')","[{8, 25, 23}, {8, 25, 23}, {8, 25, 23}]"
"('_', 6, 5, 0)","[{18, 21, 14}]"
"('_', 6, 5, 6)","[{16, 18, 14}]"
"('_', 6, 5, '_')","[{25, 18, 14}, {16, 25, 14}, {25, 18}]"
"('_', 6, 6, 6)","[{16, 11}, {16, 11, 14}, {16, 11, 14}]"
"('_', 6, 7, 4)","[{25, 20, 14}]"
"('_', 6, 7, '_')","[{25, 10}, {25, 10, 14}]"
"('_', 6, '_', 0)","[{25, 14, 23}, {25, 21}, {25, 21, 23}]"
"('_', 6, '_', 2)","[{24, 25, 14}, {24, 25, 14}, {24, 25}]"
"('_', 6, '_', 7)","[{16, 25, 3, 14}]"
"('_', 6, '_', '_')","[{25, 3, 14}, {25, 14}, {16, 25, 14}, {16, 25, 14}, {16, 25}, {25, 23}]"
"('_', 7, 0, 5)","[{19, 26, 2, 7}]"
"('_', 7, 1, 3)","[{16, 5, 23}, {16, 13}]"
"('_', 7, 1, 6)","[{16, 2, 20}, {16, 2}]"
"('_', 7, 2, 0)","[{17, 21}]"
"('_', 7, 2, 3)","[{5, 23}]"
"('_', 7, 3, '_')","[{20, 15}, {20, 15}, {20, 15}]"
"('_', 7, 5, 0)","[{18, 21}]"
"('_', 7, 6, '_')","[{2, 11, 20}, {11, 20}]"
"('_', 7, '_', 1)","[{2, 18}]"
"('_', 7, '_', '_')","[{2, 20}]"
"('_', '_', 0, 0)","[{26, 21}]"
"('_', '_', 0, 2)","[{24, 26}]"
"('_', '_', 0, 3)","[{26, 5}, {26, 5}, {26, 5}, {26, 5}]"
"('_', '_', 0, 4)","[{26, 20}]"
"('_', '_', 0, '_')",[{26}]
"('_', '_', 1, 1)","[{16, 3}]"
"('_', '_', 1, 3)","[{16, 5, 23}, {16, 5}, {16, 5}, {16, 5}]"
"('_', '_', 1, 5)","[{16, 22}]"
"('_', '_', 1, 6)","[{16, 2, 3}, {16, 2}]"
"('_', '_', 1, 7)","[{16, 22}]"
"('_', '_', 1, '_')","[{16, 2, 3}, {16, 3}, {16, 3}, {16, 3}, {16, 24}, {16, 24}]"
"('_', '_', 2, 2)","[{24, 6, 23}, {24, 6, 23}]"
"('_', '_', 2, 3)","[{5, 23}, {5, 23}, {6, 23}]"
"('_', '_', 2, 6)","[{16, 6}, {16, 6, 23}]"
"('_', '_', 2, '_')","[{8, 6, 23}, {6, 23}, {24, 6, 23}]"
"('_', '_', 3, 2)","[{24, 15}]"
"('_', '_', 3, 3)","[{5, 15}]"
"('_', '_', 3, 6)","[{14, 15}, {14, 15}, {14, 15}]"
"('_', '_', 3, '_')","[{4, 15}]"
"('_', '_', 4, 0)","[{8, 21}, {8, 21}, {8, 21}]"
"('_', '_', 4, 2)","[{8, 24}, {8, 24}, {8, 24}]"
"('_', '_', 4, 3)","[{8, 5}, {8, 5}]"
"('_', '_', 4, 4)","[{20, 23}, {8, 23}]"
"('_', '_', 4, '_')","[{8, 4}]"
"('_', '_', 5, 1)","[{18, 3, 4}, {18, 3, 4}]"
"('_', '_', 5, 3)","[{18, 5}]"
"('_', '_', 5, '_')","[{18, 4}, {18}]"
"('_', '_', 6, 2)","[{24, 11}, {24, 11}]"
"('_', '_', 6, 3)","[{11, 5}, {11, 5}, {11, 5}, {11, 5}]"
"('_', '_', 6, 6)","[{16, 2, 11}, {16, 2, 11}]"
"('_', '_', 6, '_')","[{2, 11}, {11}]"
"('_', '_', 7, '_')","[{2, 10}, {8, 10}, {10}]"
"('_', '_', '_', 0)",[{21}]
"('_', '_', '_', 1)","[{3, 4}, {3, 4, 7}, {3, 6, 7}]"
"('_', '_', '_', 2)",[{24}]
"('_', '_', '_', 3)","[{5}, {16, 5}]"
"('_', '_', '_', 4)",[{20}]
"('_', '_', '_', 5)","[{2, 19, 7}, {19, 4, 7}]"
"('_', '_', '_', 6)","[{2, 14}, {16, 2, 14}, {16, 2}]"
"('_', '_', '_', 7)","[{4, 7}]"
"('_', '_', '_', '_')","[{2, 20}, {2, 3, 4}, {8}, {13}, {15}, {16}, {25, 20}]"
