message,symbols,fixed attribute values
"(2, 4, 8, 4, 2, 0)","{8, 2, 4}","(3, 1, 2, 0, 0)"
"(2, 4, 8, 4, 4, 0)","{8, 2, 4}","('_', 1, '_', 0, '_')"
"(2, 4, 8, 4, 8, 0)","{8, 2, 4}","(3, 1, '_', 0, '_')"
"(2, 5, 2, 2, 2, 0)","{2, 5}","(0, 1, 2, 3, 0)"
"(2, 5, 2, 5, 5, 0)","{2, 5}","(0, 1, 3, 3, 3)"
"(2, 5, 5, 5, 5, 0)","{2, 5}","(0, 1, '_', 3, '_')"
"(2, 7, 2, 2, 2, 0)","{2, 7}","('_', 1, 2, 2, '_')"
"(2, 7, 2, 2, 7, 0)","{2, 7}","(0, 1, 2, 2, 2)"
"(2, 7, 2, 7, 7, 0)","{2, 7}","(2, 1, 2, 1, '_')"
"(2, 7, 7, 7, 7, 0)","{2, 7}","(2, '_', 2, '_', '_')"
"(2, 9, 2, 2, 2, 0)","{9, 2}","('_', 1, '_', 2, '_')"
"(2, 9, 2, 2, 9, 0)","{9, 2}","(2, 1, 3, 2, '_')"
"(2, 9, 2, 9, 2, 0)","{9, 2}","(2, 1, '_', 2, 1)"
"(2, 9, 2, 9, 9, 0)","{9, 2}","(0, 1, '_', 2, 1)"
"(2, 9, 9, 2, 2, 0)","{9, 2}","('_', 1, '_', 2, 3)"
"(2, 9, 9, 2, 9, 0)","{9, 2}","(2, 1, '_', 2, '_')"
"(2, 9, 9, 9, 2, 0)","{9, 2}","(1, 1, '_', 2, 0)"
"(2, 9, 9, 9, 9, 0)","{9, 2}","('_', 1, '_', 2, '_')"
"(2, 10, 2, 2, 2, 0)","{2, 10}","('_', 1, 3, '_', 3)"
"(2, 12, 2, 2, 2, 0)","{2, 12}","(3, 1, 1, 2, 0)"
"(2, 14, 3, 2, 3, 0)","{2, 3, 14}","(1, 1, 0, 1, '_')"
"(3, 1, 1, 1, 1, 0)","{1, 3}","(0, 0, 0, '_', '_')"
"(3, 1, 1, 1, 4, 0)","{1, 3, 4}","(0, 0, 0, 0, 3)"
"(3, 1, 1, 4, 1, 0)","{1, 3, 4}","(0, 0, 0, 0, '_')"
"(3, 1, 1, 6, 1, 0)","{1, 3, 6}","('_', 0, 0, '_', 1)"
"(3, 1, 4, 4, 4, 0)","{1, 3, 4}","(1, 0, 0, 0, 0)"
"(3, 1, 6, 1, 1, 0)","{1, 3, 6}","(0, 0, 0, 3, 0)"
"(3, 1, 6, 4, 1, 0)","{1, 3, 4, 6}","(0, 0, 0, 0, 3)"
"(3, 2, 2, 2, 2, 0)","{2, 3}","('_', 1, 0, '_', '_')"
"(3, 2, 2, 2, 3, 0)","{2, 3}","('_', 1, 0, '_', 0)"
"(3, 2, 2, 3, 2, 0)","{2, 3}","(2, 1, 0, '_', 0)"
"(3, 2, 2, 3, 6, 0)","{2, 3, 6}","(3, 1, 0, '_', 0)"
"(3, 2, 2, 6, 2, 0)","{2, 3, 6}","(0, 1, 0, '_', 0)"
"(3, 2, 3, 2, 2, 0)","{2, 3}","('_', 1, 0, '_', '_')"
"(3, 2, 3, 2, 3, 0)","{2, 3}","('_', 1, 0, '_', 0)"
"(3, 2, 3, 3, 2, 0)","{2, 3}","('_', 1, 0, '_', '_')"
"(3, 2, 3, 3, 3, 0)","{2, 3}","(2, 1, 0, '_', '_')"
"(3, 2, 3, 3, 6, 0)","{2, 3, 6}","(2, 1, 0, '_', 1)"
"(3, 2, 5, 5, 5, 0)","{2, 3, 5}","(0, 1, 0, 3, 0)"
"(3, 3, 1, 1, 1, 0)","{1, 3}","('_', 0, 0, '_', '_')"
"(3, 3, 2, 2, 2, 0)","{2, 3}","('_', 1, 0, '_', '_')"
"(3, 3, 2, 2, 3, 0)","{2, 3}","(3, 1, 0, '_', '_')"
"(3, 3, 2, 2, 6, 0)","{2, 3, 6}","(3, 1, 0, '_', 1)"
"(3, 3, 2, 2, 11, 0)","{11, 2, 3}","(3, 1, 0, '_', 1)"
"(3, 3, 2, 3, 2, 0)","{2, 3}","('_', 1, 0, '_', 2)"
"(3, 3, 2, 3, 3, 0)","{2, 3}","('_', 1, 0, '_', '_')"
"(3, 3, 2, 3, 6, 0)","{2, 3, 6}","(3, 1, 0, '_', 1)"
"(3, 3, 3, 2, 2, 0)","{2, 3}","(2, 1, 0, 1, '_')"
"(3, 3, 3, 2, 3, 0)","{2, 3}","(1, 1, 0, 1, 0)"
"(3, 3, 3, 3, 2, 0)","{2, 3}","('_', 1, 0, '_', '_')"
"(3, 3, 3, 3, 3, 0)",{3},"('_', '_', 0, '_', '_')"
"(3, 3, 3, 3, 4, 0)","{3, 4}","(0, 2, 0, 0, 3)"
"(3, 3, 3, 3, 5, 0)","{3, 5}","(2, '_', 0, 3, 2)"
"(3, 3, 3, 3, 6, 0)","{3, 6}","('_', '_', 0, '_', '_')"
"(3, 3, 3, 3, 8, 0)","{8, 3}","(3, 3, 0, '_', 2)"
"(3, 3, 3, 3, 9, 0)","{9, 3}","(2, 3, 0, 2, 0)"
"(3, 3, 3, 3, 15, 0)","{3, 15}","('_', 2, 0, '_', 0)"
"(3, 3, 3, 4, 3, 0)","{3, 4}","('_', '_', 0, 0, 0)"
"(3, 3, 3, 5, 3, 0)","{3, 5}","(3, 3, 0, 3, 1)"
"(3, 3, 3, 5, 5, 0)","{3, 5}","('_', '_', 0, 3, '_')"
"(3, 3, 3, 5, 8, 0)","{8, 3, 5}","(3, 3, 0, 3, 1)"
"(3, 3, 3, 6, 3, 0)","{3, 6}","('_', '_', 0, '_', '_')"
"(3, 3, 3, 6, 6, 0)","{3, 6}","(0, '_', 0, '_', 2)"
"(3, 3, 3, 6, 15, 0)","{3, 6, 15}","('_', 2, 0, 2, 1)"
"(3, 3, 3, 8, 3, 0)","{8, 3}","('_', 3, 0, '_', '_')"
"(3, 3, 3, 9, 3, 0)","{9, 3}","('_', '_', 0, 2, 0)"
"(3, 3, 3, 15, 3, 0)","{3, 15}","(2, 2, 0, '_', 1)"
"(3, 3, 3, 15, 15, 0)","{3, 15}","(0, 2, 0, '_', 3)"
"(3, 3, 4, 1, 4, 0)","{1, 3, 4}","('_', 0, 0, 0, 0)"
"(3, 3, 4, 3, 4, 0)","{3, 4}","(0, '_', 0, 0, 3)"
"(3, 3, 4, 4, 2, 0)","{2, 3, 4}","('_', 0, 0, 0, '_')"
"(3, 3, 4, 4, 4, 0)","{3, 4}","('_', 0, 0, 0, '_')"
"(3, 3, 4, 8, 4, 0)","{8, 3, 4}","('_', 0, 0, 0, '_')"
"(3, 3, 4, 15, 4, 0)","{3, 4, 15}","(0, 2, 0, 0, '_')"
"(3, 3, 5, 3, 3, 0)","{3, 5}","(3, 3, 0, 3, 0)"
"(3, 3, 5, 5, 5, 0)","{3, 5}","('_', '_', 0, 3, '_')"
"(3, 3, 5, 8, 5, 0)","{8, 3, 5}","(0, 3, 0, 3, '_')"
"(3, 3, 6, 1, 1, 0)","{1, 3, 6}","(0, 0, 0, '_', 3)"
"(3, 3, 6, 3, 3, 0)","{3, 6}","(1, '_', 0, 2, '_')"
"(3, 3, 6, 3, 6, 0)","{3, 6}","('_', '_', 0, '_', '_')"
"(3, 3, 6, 6, 3, 0)","{3, 6}","(0, '_', 0, '_', 2)"
"(3, 3, 6, 6, 6, 0)","{3, 6}","('_', '_', 0, '_', '_')"
"(3, 3, 6, 6, 12, 0)","{3, 12, 6}","(0, '_', 0, '_', 2)"
"(3, 3, 6, 6, 14, 0)","{3, 6, 14}","(0, '_', 0, '_', 2)"
"(3, 3, 6, 9, 6, 0)","{9, 3, 6}","(0, '_', 0, 2, 3)"
"(3, 3, 6, 12, 6, 0)","{3, 12, 6}","(0, '_', 0, '_', 2)"
"(3, 3, 6, 12, 12, 0)","{3, 12, 6}","(0, '_', 0, '_', 2)"
"(3, 3, 8, 3, 3, 0)","{8, 3}","('_', 3, 0, '_', 0)"
"(3, 3, 8, 3, 8, 0)","{8, 3}","('_', 3, 0, '_', 1)"
"(3, 3, 8, 5, 5, 0)","{8, 3, 5}","(0, 3, 0, 3, '_')"
"(3, 3, 8, 8, 3, 0)","{8, 3}","('_', 3, 0, '_', 0)"
"(3, 3, 8, 8, 8, 0)","{8, 3}","('_', 3, 0, '_', '_')"
"(3, 3, 8, 9, 9, 0)","{8, 9, 3}","('_', 3, 0, 2, 0)"
"(3, 3, 9, 3, 9, 0)","{9, 3}","(0, '_', 0, 2, '_')"
"(3, 3, 9, 6, 6, 0)","{9, 3, 6}","(0, '_', 0, 2, '_')"
"(3, 3, 9, 8, 9, 0)","{8, 9, 3}","('_', 3, 0, 2, 0)"
"(3, 3, 9, 9, 6, 0)","{9, 3, 6}","(0, '_', 0, 2, 0)"
"(3, 3, 9, 9, 9, 0)","{9, 3}","(1, '_', 0, 2, 3)"
"(3, 3, 11, 3, 6, 0)","{11, 3, 6}","(3, 1, 0, '_', 1)"
"(3, 3, 13, 3, 3, 0)","{3, 13}","(2, 3, 0, 1, 0)"
"(3, 3, 13, 3, 12, 0)","{3, 12, 13}","(0, '_', 0, '_', 2)"
"(3, 3, 14, 1, 1, 0)","{1, 3, 14}","(3, 0, 0, 1, 0)"
"(3, 3, 14, 6, 6, 0)","{3, 14, 6}","(2, 0, 0, 1, 1)"
