message,n_concepts
"(8, 12, 7, 13, 0)",1
"(8, 12, 8, 2, 0)",1
"(8, 12, 8, 6, 0)",1
"(8, 12, 8, 7, 0)",2
"(8, 12, 8, 8, 0)",2
"(8, 12, 11, 11, 0)",1
"(8, 12, 12, 2, 0)",1
"(8, 12, 13, 7, 0)",1
"(8, 12, 13, 12, 0)",1
"(8, 12, 13, 13, 0)",1
"(8, 13, 1, 13, 0)",2
"(8, 13, 4, 13, 0)",2
"(8, 13, 6, 6, 0)",2
"(8, 13, 6, 7, 0)",1
"(8, 13, 7, 6, 0)",2
"(8, 13, 13, 1, 0)",1
"(8, 13, 13, 4, 0)",1
