symbols,count,fixed attribute values
"(9, 12)",58,"{(0, '?', None, '?', None), (None, None, 1, 2, None), (0, '?', '?', '?', '?'), (None, None, 1, None, None)}"
"(9, 12, 4)",2,"{(0, '?', 1, 0, 0), (1, '?', 1, 0, '?')}"
"(9, 12, 6)",16,"{(None, None, 1, 2, None), (3, 2, 1, 2, 2), (1, '?', 1, '?', 1), (None, 2, 1, 2, None), (0, '?', '?', '?', 2)}"
"(9, 12, 6, 15)",8,"{(3, 2, 1, 2, '?'), (None, 2, 1, 2, None), (3, 2, 1, 2, None), (1, 2, 1, 2, 3), ('?', 2, 1, 2, 1)}"
"(9, 12, 13)",3,"{('?', '?', '?', '?', 2), (0, '?', 1, 2, 2)}"
"(9, 12, 15)",13,"{(2, 2, 1, 2, 3), (1, 2, 1, 2, 2), (3, 2, 1, 2, 2), (1, 2, 1, '?', 0), ('?', 2, 1, 2, 2), (None, 2, 1, 2, None), (0, 2, 1, 2, 0)}"
"(9, 13)",1,"{(2, '?', '?', 2, 2)}"
"(9, 13, 4, 12)",2,"{('?', '?', '?', '?', 0), (0, '?', '?', '?', 0)}"
"(9, 13, 7)",1,"{(2, '?', 2, 2, 3)}"
"(9, 15)",49,"{(2, 2, '?', 2, 1), (None, 2, '?', 2, None), (0, 2, 1, 2, 0), ('?', 2, 1, 2, 1), (None, 2, 1, 2, None), (2, 2, 1, 2, 1), (None, 2, None, 2, None), (0, 2, '?', 2, 1), (3, 2, 1, 2, 0), (3, 2, 1, 2, 3)}"
"(9, 15, 7)",5,"{(2, 2, 2, 2, '?'), (2, 2, 2, 2, 3), (0, 2, 2, 2, 1), (1, 2, 2, 2, 3)}"
"(10,)",199,"{(None, None, 3, None, None)}"
"(10, 2)",59,"{(None, 1, 3, None, None), (3, 1, 3, '?', 1), (1, 1, 3, '?', 1), (None, 1, 3, '?', None), (3, 1, 3, '?', 2), (0, 1, 3, 1, 3)}"
"(10, 2, 4)",36,"{(0, 1, 3, 0, 3), (3, 1, 3, 0, None), (2, 1, 3, 0, 0), (None, 1, 3, 0, None), (None, 1, 3, 0, 3), (1, 1, 3, 0, 2), (2, 1, 3, 0, 2)}"
"(10, 2, 4, 14)",2,"{(1, 1, 3, 1, None)}"
"(10, 2, 5)",2,"{(None, 1, 3, 3, 3)}"
"(10, 4)",144,"{(0, 3, 3, 0, 3), (1, 2, 3, 1, 3), ('?', 2, 3, 0, 1), (0, 2, 3, 0, 0), ('?', 2, 3, 0, None), (3, '?', 3, 0, 0), ('?', '?', 3, 0, 3), (None, None, 3, 0, None), (None, None, 3, 1, None), ('?', 2, 3, 0, 3)}"
"(10, 4, 5)",2,"{(None, 2, 3, 1, None)}"
"(10, 4, 5, 14)",1,"{(1, 2, 3, 1, '?')}"
"(10, 4, 6)",14,"{(None, None, 3, 1, None), (1, 3, 3, 1, '?'), (None, 2, 3, 1, None)}"
"(10, 4, 6, 15)",1,"{('?', 2, 3, 1, 3)}"
"(10, 4, 12)",1,"{(0, '?', 3, 0, 2)}"
"(10, 4, 12, 6)",1,"{(0, '?', 3, 1, 0)}"
"(10, 4, 14)",59,"{(2, '?', 3, 1, 1), (None, None, 3, 1, None), (None, '?', 3, 1, None), (None, None, None, 1, None)}"
"(10, 4, 14, 6)",25,"{(0, '?', 3, 1, 2), ('?', '?', 3, 1, 2), (None, None, 3, 1, '?'), (None, None, 3, 1, None), (1, '?', 3, 1, 2)}"
"(10, 4, 14, 15)",7,"{(1, 2, 3, 1, '?'), (1, 2, 3, 1, 0), (None, 2, 3, 1, None)}"
"(10, 4, 15)",49,"{(None, 2, 3, 0, None), (3, 2, 3, 0, None), ('?', 2, 3, '?', '?'), (None, 2, 3, 0, 3), (2, 2, 3, 0, 1), (0, 2, 3, '?', 0), (0, 2, 3, 0, 0), (None, 2, 3, 1, None), (2, 2, 3, 0, '?'), (1, 2, 3, 0, 0), (0, 2, 3, 2, 0), (None, 2, 3, None, None), (2, 2, 3, 0, None), (0, 2, 3, 0, 3), ('?', 2, 3, 1, 0), ('?', 2, 3, 0, 3)}"
"(10, 5)",95,"{(1, '?', 3, 3, 0), (3, '?', 3, 3, '?'), (2, 3, '?', 3, 3), (1, 3, 3, 3, 1), (0, 0, 3, 3, 2), (3, '?', 3, 3, 3), (3, 1, 3, 3, 3), (0, 2, 3, 3, 2), (None, 3, 3, 3, None), (2, '?', 3, 3, 0), (2, '?', 3, 3, 3), (0, 1, 3, 3, 3), (None, None, 3, 3, None)}"
"(10, 5, 15)",1,"{('?', 2, 3, 2, 1)}"
"(10, 6)",7,"{(None, 0, 3, 2, 2), (0, 0, 3, 2, '?'), (None, None, 3, None, None), (2, 0, 3, 2, 2), (1, '?', 3, 1, 2)}"
"(10, 11)",1,"{(1, '?', 3, '?', 0)}"
"(10, 11, 14)",1,"{(1, 3, '?', 1, 2)}"
"(10, 12)",1,"{(2, '?', 3, '?', 2)}"
"(10, 12, 13)",1,"{(2, '?', 3, '?', 2)}"
"(10, 13)",1,"{(2, '?', 3, '?', 2)}"
"(10, 14)",1,"{(1, '?', 3, 1, 2)}"
"(10, 15)",119,"{(None, 2, 3, 2, 1), (2, 2, 3, 0, 2), (None, 2, 3, 2, None), (3, 2, 3, 2, '?'), (2, 2, 3, 2, 2), ('?', 2, 3, 2, 2), (2, 2, 3, '?', 1), (0, 2, 3, '?', 3), (None, 2, 3, None, None), (None, 2, 3, '?', None), (3, 2, 3, None, '?')}"
"(11,)",4,"{(3, '?', '?', '?', None)}"
"(11, 2, 3)",2,"{(3, 1, 0, '?', 0), (3, 1, 0, '?', 1)}"
"(11, 3, 6)",1,"{(3, 1, 0, '?', 1)}"
"(11, 4, 13, 14)",1,"{(3, '?', '?', 1, 3)}"
"(11, 4, 14)",5,"{(3, '?', '?', 1, 0), (3, '?', '?', 1, None), (3, '?', '?', 1, '?')}"
"(11, 6)",1,"{(3, '?', '?', '?', 1)}"
"(11, 8, 3, 4)",1,"{(1, '?', 0, 0, 3)}"
"(11, 12)",6,"{(3, '?', 1, 0, 3), (None, '?', '?', '?', 3), (3, '?', '?', '?', 3)}"
"(11, 12, 7)",2,"{('?', '?', '?', '?', 3)}"
"(11, 12, 14)",1,"{(3, '?', '?', 1, 3)}"
"(11, 13)",1,"{(3, '?', '?', '?', 2)}"
"(12,)",81,"{(None, None, 1, None, None)}"
"(12, 4)",38,"{(1, 2, 1, 0, 1), (0, '?', '?', 0, 0), (None, 2, 1, 0, None), ('?', '?', '?', '?', 0), (None, 2, 1, 1, None), (None, None, 1, 0, None)}"
"(12, 4, 6)",1,"{(2, 2, 1, 1, 0)}"
"(12, 4, 14)",3,"{(2, 2, 1, 1, 0), (2, 2, 1, 1, 1), (2, 2, 1, 1, 2)}"
"(12, 4, 14, 15)",2,"{('?', 2, 1, 1, '?'), (0, 2, 1, 1, '?')}"
"(12, 4, 15)",50,"{(None, 2, 1, None, 0), (3, 2, 1, None, None), (None, 2, 1, 0, None), (None, 2, 1, 0, 3), (None, 2, None, 0, None), (3, 2, 1, 0, '?'), ('?', 2, '?', 0, 0), (3, 2, 1, 0, None), (None, 2, 1, None, None)}"
"(12, 5)",65,"{(0, 3, 1, 3, '?'), (None, None, 1, 3, None), (2, '?', 1, 3, 0), (0, 3, 1, 3, 0), (None, '?', 1, 3, None)}"
"(12, 6)",1,"{(1, '?', 1, '?', 3)}"
"(12, 6, 15)",2,"{(None, 2, 1, None, None)}"
"(12, 13)",4,"{(2, '?', '?', '?', 2), ('?', '?', '?', '?', 2), (2, '?', 1, '?', None)}"
"(12, 13, 14)",1,"{(0, '?', 1, 1, 0)}"
"(12, 13, 15)",2,"{(2, 2, 1, '?', 2), (2, '?', '?', '?', 2)}"
"(12, 14)",110,"{('?', '?', 1, 1, '?'), (None, None, 1, 1, None), (3, '?', 1, 1, 3), (3, '?', 1, 1, '?'), (None, '?', 1, 1, None), ('?', '?', 1, 1, 3), (None, 2, 1, 1, None), (3, 2, 1, 1, 3), (0, '?', 1, 1, 0)}"
"(12, 14, 15)",11,"{(1, 2, 1, 1, 0), ('?', 2, 1, 1, 0), (3, 2, 1, 1, 2), (None, 2, 1, 1, 0), (None, 2, 1, 1, None), (3, 2, 1, 1, '?'), (3, 2, 1, 1, 0)}"
"(12, 15)",79,"{(0, 2, 1, '?', 1), (None, 2, 1, '?', None), (1, 2, 1, '?', 0), (None, 2, 1, '?', 3), (1, 2, 1, '?', 2), (None, 2, 1, None, None)}"
"(13,)",4,"{(2, '?', None, '?', None)}"
"(13, 7)",3,"{(2, '?', 2, '?', 3), (2, '?', '?', '?', 2)}"
"(13, 12, 4)",1,"{(2, '?', 1, 0, 0)}"
"(13, 14)",1,"{(2, '?', '?', 1, 1)}"
"(13, 14, 7)",2,"{(2, '?', 2, 1, 3), (2, '?', 2, 1, '?')}"
"(13, 15)",2,"{(2, 2, '?', '?', 2)}"
"(14,)",62,"{(None, None, None, 1, None)}"
"(14, 7)",23,"{(None, '?', 2, 1, None), (1, '?', 2, 1, None), (3, '?', 2, 1, 3), (2, '?', 2, 1, None), (None, None, None, 1, None), (None, None, 2, 1, None), ('?', '?', '?', 1, 0), (1, '?', 2, 1, '?'), (1, '?', 2, 1, 1)}"
"(14, 15)",38,"{(1, 2, None, 1, None), (None, 2, 0, 1, None), (1, 2, '?', 1, '?'), (1, 2, 0, 1, None), (None, 2, None, 1, None), ('?', 2, 0, 1, 2), (1, 2, '?', '?', 2)}"
"(15,)",119,"{(None, 2, None, None, None)}"
"(15, 4, 7)",4,"{(3, 2, 2, '?', 0), (3, 2, 2, '?', 2), (3, 2, 2, '?', None)}"
"(15, 5, 7)",1,"{(0, 2, 2, 3, 2)}"
"(15, 6, 7)",2,"{(1, 2, 2, 1, 1), (1, 2, 2, 2, 1)}"
"(15, 7)",126,"{(None, 2, 2, None, None), (None, None, 2, None, None), (None, 2, 2, '?', None)}"
